Data File Name,2100 expert_mRNA Nano_DE13804677_2022-10-19_15-49-14.xad
Data File Path,F:\BPC\PAb_ME1_020
Date Created,"Wednesday, October 19, 2022 1:49:13 PM"
Date Last Modified,"Wednesday, October 19, 2022 2:19:41 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,mRNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,mRNA Nano
Assay Version,2.5
 
Number of Samples Run,12
 
Sample Name,Sample 3
Number of Events,1420
 
Time,Value
34,0.8596517
34.05,0.8399057
34.1,0.8377888
34.15,0.8357058
34.2,0.8474404
34.25,0.8533337
34.3,0.8271202
34.35,0.7828611
34.4,0.7432075
34.45,0.7281844
34.5,0.7337167
34.55,0.7471557
34.6,0.7449307
34.65,0.7314491
34.7,0.7180039
34.75,0.6831064
34.8,0.6590744
34.85,0.6563216
34.9,0.6396388
34.95,0.6654693
35,0.6644763
35.05,0.6593704
35.1,0.6513124
35.15,0.6339937
35.2,0.637715
35.25,0.6216202
35.3,0.6056099
35.35,0.5999174
35.4,0.5904315
35.45,0.6036983
35.5,0.6227943
35.55,0.6246119
35.6,0.5869818
35.65,0.5601309
35.7,0.5578046
35.75,0.5609953
35.8,0.5793478
35.85,0.61037
35.9,0.6418135
35.95,0.6621383
36,0.7029415
36.05,0.7414315
36.1,0.7546327
36.15,0.7789945
36.2,0.7876145
36.25,0.8030965
36.3,0.8380418
36.35,0.8748454
36.4,0.9002415
36.45,0.9150338
36.5,0.9222938
36.55,0.9152035
36.6,0.929968
36.65,0.9429338
36.7,0.9682208
36.75,1.007134
36.8,1.005178
36.85,0.9799091
36.9,0.9349742
36.95,0.9089774
37,0.8634533
37.05,0.8322155
37.1,0.818788
37.15,0.7911817
37.2,0.7690053
37.25,0.7698707
37.3,0.7581573
37.35,0.7451553
37.4,0.741263
37.45,0.7391937
37.5,0.7300448
37.55,0.7484333
37.6,0.7910637
37.65,0.8461999
37.7,0.9286535
37.75,0.9954742
37.8,1.066636
37.85,1.153653
37.9,1.260994
37.95,1.339919
38,1.427587
38.05,1.532906
38.1,1.660886
38.15,1.792597
38.2,1.963282
38.25,2.098472
38.3,2.20029
38.35,2.298593
38.4,2.347667
38.45,2.365972
38.5,2.381097
38.55,2.390829
38.6,2.367653
38.65,2.328023
38.7,2.292433
38.75,2.209322
38.8,2.128813
38.85,2.083215
38.9,2.048984
38.95,2.00805
39,1.988937
39.05,1.97308
39.1,1.954403
39.15,1.948256
39.2,1.943159
39.25,1.951624
39.3,1.975762
39.35,2.017233
39.4,2.084478
39.45,2.15451
39.5,2.211841
39.55,2.240254
39.6,2.265726
39.65,2.313288
39.7,2.365008
39.75,2.440855
39.8,2.529195
39.85,2.630307
39.9,2.719077
39.95,2.781989
40,2.856583
40.05,2.899267
40.1,2.899964
40.15,2.845549
40.2,2.82461
40.25,2.810735
40.3,2.769489
40.35,2.740627
40.4,2.679664
40.45,2.567615
40.5,2.485827
40.55,2.477457
40.6,2.490049
40.65,2.497585
40.7,2.482414
40.75,2.428077
40.8,2.39533
40.85,2.39052
40.9,2.372587
40.95,2.31815
41,2.244374
41.05,2.204221
41.1,2.17557
41.15,2.182791
41.2,2.168288
41.25,2.137262
41.3,2.090601
41.35,2.069233
41.4,2.089346
41.45,2.118149
41.5,2.118251
41.55,2.107715
41.6,2.115294
41.65,2.110696
41.7,2.076913
41.75,2.00752
41.8,1.926152
41.85,1.858381
41.9,1.81429
41.95,1.803193
42,1.793574
42.05,1.772493
42.1,1.750818
42.15,1.688863
42.2,1.646479
42.25,1.640431
42.3,1.579649
42.35,1.505437
42.4,1.48663
42.45,1.482585
42.5,1.473301
42.55,1.450629
42.6,1.433256
42.65,1.38774
42.7,1.330589
42.75,1.321914
42.8,1.321946
42.85,1.304081
42.9,1.281617
42.95,1.243058
43,1.200557
43.05,1.16904
43.1,1.169302
43.15,1.185645
43.2,1.176493
43.25,1.13312
43.3,1.090297
43.35,1.034147
43.4,0.9917653
43.45,0.999585
43.5,1.033804
43.55,1.042619
43.6,1.04442
43.65,1.038961
43.7,1.023485
43.75,0.9876955
43.8,0.9691408
43.85,0.9684083
43.9,0.9540334
43.95,0.9318174
44,0.9016206
44.05,0.8567238
44.1,0.8232567
44.15,0.8294989
44.2,0.8285515
44.25,0.8654571
44.3,0.8796498
44.35,0.8938013
44.4,0.8628376
44.45,0.8382459
44.5,0.8227928
44.55,0.8083731
44.6,0.7918216
44.65,0.7655351
44.7,0.7358328
44.75,0.7142059
44.8,0.7171617
44.85,0.7255139
44.9,0.7248026
44.95,0.7200171
45,0.7187544
45.05,0.7342086
45.1,0.7509482
45.15,0.7824802
45.2,0.8070971
45.25,0.8047196
45.3,0.7947982
45.35,0.7767621
45.4,0.7730551
45.45,0.7399937
45.5,0.7358711
45.55,0.7236809
45.6,0.7296005
45.65,0.7549085
45.7,0.7617904
45.75,0.7430226
45.8,0.7150965
45.85,0.6695713
45.9,0.6360674
45.95,0.6403413
46,0.6649418
46.05,0.6756527
46.1,0.6850757
46.15,0.72259
46.2,0.7374473
46.25,0.7284233
46.3,0.7196773
46.35,0.6879978
46.4,0.6429937
46.45,0.6434761
46.5,0.6779597
46.55,0.7004492
46.6,0.6927023
46.65,0.7034351
46.7,0.6777372
46.75,0.6550189
46.8,0.6390631
46.85,0.6445143
46.9,0.6443189
46.95,0.6419014
47,0.6425259
47.05,0.6225387
47.1,0.6047993
47.15,0.5963515
47.2,0.5948513
47.25,0.590449
47.3,0.5871038
47.35,0.603631
47.4,0.5974564
47.45,0.6076718
47.5,0.6056177
47.55,0.5915732
47.6,0.5707229
47.65,0.561478
47.7,0.5465316
47.75,0.5553424
47.8,0.56295
47.85,0.5846899
47.9,0.5981863
47.95,0.6125521
48,0.5991046
48.05,0.5443575
48.1,0.4983785
48.15,0.4727557
48.2,0.4774748
48.25,0.5091194
48.3,0.5626021
48.35,0.5666711
48.4,0.545024
48.45,0.5209312
48.5,0.5219406
48.55,0.5058706
48.6,0.4880131
48.65,0.4667544
48.7,0.4910269
48.75,0.5125164
48.8,0.5518888
48.85,0.5367799
48.9,0.5063847
48.95,0.4690257
49,0.4461792
49.05,0.4438223
49.1,0.4545713
49.15,0.460711
49.2,0.4631382
49.25,0.475591
49.3,0.5069774
49.35,0.538558
49.4,0.5313586
49.45,0.53555
49.5,0.5567646
49.55,0.555874
49.6,0.5393321
49.65,0.4993388
49.7,0.4661989
49.75,0.4089761
49.8,0.3687808
49.85,0.3793012
49.9,0.3999287
49.95,0.4182875
50,0.4335766
50.05,0.4571671
50.1,0.4669262
50.15,0.458923
50.2,0.4594322
50.25,0.4684025
50.3,0.4709921
50.35,0.4511546
50.4,0.4318121
50.45,0.391131
50.5,0.3841593
50.55,0.4070895
50.6,0.4461214
50.65,0.4753987
50.7,0.46849
50.75,0.4368357
50.8,0.4083148
50.85,0.3907814
50.9,0.4065144
50.95,0.4049441
51,0.4059075
51.05,0.3955745
51.1,0.3784318
51.15,0.3789163
51.2,0.3904936
51.25,0.4110807
51.3,0.4234071
51.35,0.424445
51.4,0.4152544
51.45,0.3922018
51.5,0.3775537
51.55,0.3507163
51.6,0.3340729
51.65,0.348052
51.7,0.3466057
51.75,0.3562485
51.8,0.3547632
51.85,0.3485989
51.9,0.3483477
51.95,0.3237709
52,0.3425982
52.05,0.3593123
52.1,0.3464239
52.15,0.3328511
52.2,0.3434256
52.25,0.3468869
52.3,0.3397279
52.35,0.3409122
52.4,0.3477606
52.45,0.3248091
52.5,0.3098761
52.55,0.3318349
52.6,0.3372566
52.65,0.364694
52.7,0.3874494
52.75,0.397597
52.8,0.3882526
52.85,0.3683509
52.9,0.3537673
52.95,0.3283064
53,0.3291334
53.05,0.3338808
53.1,0.3304237
53.15,0.3371905
53.2,0.335501
53.25,0.3203039
53.3,0.308736
53.35,0.3122123
53.4,0.3129896
53.45,0.3034219
53.5,0.2873865
53.55,0.2803661
53.6,0.2851753
53.65,0.3089678
53.7,0.3330509
53.75,0.3292596
53.8,0.3232558
53.85,0.3038151
53.9,0.2877918
53.95,0.3136117
54,0.3358922
54.05,0.3344934
54.1,0.329397
54.15,0.3210336
54.2,0.3102945
54.25,0.2903877
54.3,0.2717734
54.35,0.2543775
54.4,0.2418808
54.45,0.2570716
54.5,0.2800879
54.55,0.2798923
54.6,0.2726262
54.65,0.24816
54.7,0.2211532
54.75,0.2548131
54.8,0.2821458
54.85,0.3312072
54.9,0.3747907
54.95,0.3746882
55,0.3631185
55.05,0.3326347
55.1,0.3112033
55.15,0.2912888
55.2,0.2730718
55.25,0.2759068
55.3,0.2572535
55.35,0.2394893
55.4,0.2482806
55.45,0.2462987
55.5,0.2295927
55.55,0.2149849
55.6,0.2043526
55.65,0.2131973
55.7,0.2492753
55.75,0.2854004
55.8,0.3052594
55.85,0.2942408
55.9,0.2968516
55.95,0.2893261
56,0.2799666
56.05,0.2824365
56.1,0.2948377
56.15,0.3087695
56.2,0.3294233
56.25,0.332254
56.3,0.3033103
56.35,0.2544172
56.4,0.2112073
56.45,0.1730266
56.5,0.1693037
56.55,0.1868194
56.6,0.2099249
56.65,0.2310241
56.7,0.2498945
56.75,0.2563599
56.8,0.2352511
56.85,0.2314982
56.9,0.2365468
56.95,0.2499523
57,0.2311836
57.05,0.2263656
57.1,0.208699
57.15,0.1991842
57.2,0.2125142
57.25,0.2445955
57.3,0.247456
57.35,0.2395688
57.4,0.2298998
57.45,0.2291034
57.5,0.2268337
57.55,0.2306716
57.6,0.2392515
57.65,0.2295349
57.7,0.2235209
57.75,0.226775
57.8,0.2287589
57.85,0.2487734
57.9,0.2623431
57.95,0.266609
58,0.2237328
58.05,0.2078097
58.1,0.2034053
58.15,0.191727
58.2,0.190843
58.25,0.1732917
58.3,0.1464286
58.35,0.1423431
58.4,0.1752077
58.45,0.2097253
58.5,0.2197438
58.55,0.2275414
58.6,0.222771
58.65,0.217456
58.7,0.2171482
58.75,0.2012885
58.8,0.1813617
58.85,0.1709801
58.9,0.1923828
58.95,0.2225254
59,0.2526397
59.05,0.269011
59.1,0.24377
59.15,0.2234273
59.2,0.2273894
59.25,0.2130672
59.3,0.2017786
59.35,0.2051971
59.4,0.2099537
59.45,0.2238704
59.5,0.2378419
59.55,0.2438866
59.6,0.2245997
59.65,0.2001301
59.7,0.1988435
59.75,0.2149951
59.8,0.2298246
59.85,0.2221694
59.9,0.2070328
59.95,0.1807344
60,0.1629659
60.05,0.1699013
60.1,0.1906157
60.15,0.2154349
60.2,0.2150695
60.25,0.2077329
60.3,0.1844278
60.35,0.1594957
60.4,0.1490277
60.45,0.1716007
60.5,0.2008453
60.55,0.2195516
60.6,0.2314924
60.65,0.2281271
60.7,0.233424
60.75,0.2317325
60.8,0.2421505
60.85,0.2511464
60.9,0.2429004
60.95,0.2386064
61,0.2145747
61.05,0.201693
61.1,0.1683103
61.15,0.1576727
61.2,0.1745192
61.25,0.1926699
61.3,0.1806435
61.35,0.1795345
61.4,0.1568721
61.45,0.1452167
61.5,0.1715709
61.55,0.2075408
61.6,0.2214745
61.65,0.2261018
61.7,0.2345917
61.75,0.2152195
61.8,0.1735086
61.85,0.1506661
61.9,0.1465339
61.95,0.157569
62,0.1847092
62.05,0.221062
62.1,0.2130238
62.15,0.1902636
62.2,0.1791028
62.25,0.1676429
62.3,0.1484017
62.35,0.1429954
62.4,0.1477422
62.45,0.1454651
62.5,0.148819
62.55,0.1648622
62.6,0.1794188
62.65,0.1644209
62.7,0.1384536
62.75,0.1307237
62.8,0.1421598
62.85,0.1549047
62.9,0.1732853
62.95,0.1903704
63,0.1809535
63.05,0.157958
63.1,0.1585798
63.15,0.1765621
63.2,0.1913397
63.25,0.1959229
63.3,0.1993438
63.35,0.179973
63.4,0.1700339
63.45,0.1741862
63.5,0.1958232
63.55,0.2035406
63.6,0.1891378
63.65,0.1772026
63.7,0.1635281
63.75,0.1653937
63.8,0.1810503
63.85,0.1981651
63.9,0.195247
63.95,0.1772597
64,0.1659784
64.05,0.1642278
64.1,0.1795808
64.15,0.2069275
64.2,0.2358211
64.25,0.2155955
64.3,0.1817024
64.35,0.1554269
64.4,0.1296892
64.45,0.1240974
64.5,0.1274617
64.55,0.1413586
64.6,0.1619326
64.65,0.1702607
64.7,0.1883475
64.75,0.2083729
64.8,0.2115504
64.85,0.201915
64.9,0.2078376
64.95,0.2252631
65,0.2374262
65.05,0.2434801
65.1,0.2451822
65.15,0.2458133
65.2,0.2396505
65.25,0.2294762
65.3,0.2311409
65.35,0.2206229
65.4,0.2318634
65.45,0.2250087
65.5,0.2381005
65.55,0.2445381
65.6,0.2401306
65.65,0.2342464
65.7,0.2354989
65.75,0.2131236
65.8,0.1919326
65.85,0.1682253
65.9,0.170941
65.95,0.1739909
66,0.1768319
66.05,0.1743975
66.1,0.1537223
66.15,0.1362191
66.2,0.1405678
66.25,0.1719502
66.3,0.193093
66.35,0.1913288
66.4,0.1687216
66.45,0.1484857
66.5,0.1202665
66.55,0.1299543
66.6,0.1334271
66.65,0.1614585
66.7,0.1718424
66.75,0.1877095
66.8,0.1982924
66.85,0.1896768
66.9,0.1780671
66.95,0.1864974
67,0.1797309
